 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,168.398,60,3507,168324951.369,16444100.000
2,999564.069,122.056,47,2742,122002716.214,11918761.000
3,999564.069,67.548,34,905,67519022.526,6596108.000
4,999564.069,40.357,26,283,40339529.441,3940873.000
5,999564.069,228.773,62,3157,228673409.376,22339697.000
6,999564.069,162.697,50,2108,162626310.197,15887385.000
7,999564.069,83.419,34,917,83382242.484,8145827.000
8,999564.069,44.241,27,250,44222178.172,4320179.000
9,999564.069,162.967,63,1574,162895859.819,15913718.000
10,999564.069,118.501,51,1042,118449805.910,11571668.000
11,999564.069,65.759,35,427,65730504.022,6421383.000
12,999564.069,39.978,27,142,39960503.754,3903845.000
13,999564.069,270.286,62,4043,270168123.700,26393423.000
14,999564.069,190.026,50,2730,189942753.284,18555999.000
15,999564.069,94.253,34,1150,94211856.375,9203800.000
16,999564.069,47.157,26,318,47136636.761,4604900.000
17,999564.069,254.037,62,4072,253925919.000,24806680.000
18,999564.069,179.194,50,2858,179116036.236,17498309.000
19,999564.069,90.301,35,1157,90261976.340,8817926.000
20,999564.069,46.026,26,325,46005680.942,4494414.000
21,999564.069,201.682,63,4095,201594527.814,19694291.000
22,999564.069,144.087,52,3205,144023885.479,14070066.000
23,999564.069,76.005,35,1336,75971741.644,7421876.000
24,999564.069,42.444,28,362,42425378.590,4144645.000
25,999564.069,244.529,62,3089,244422291.079,23878246.000
26,999564.069,173.105,49,2102,173029259.166,16903676.000
27,999564.069,86.978,34,849,86940373.247,8493430.000
28,999564.069,45.476,27,242,45455915.586,4440706.000
29,999564.069,305.729,62,3923,305595929.401,29854457.000
30,999564.069,214.400,49,2733,214306935.529,20936199.000
31,999564.069,104.477,34,1118,104431946.025,10202227.000
32,999564.069,49.573,27,319,49551569.220,4840821.000
33,999564.069,284.243,56,4095,284119335.744,27756353.000
34,999564.069,200.157,46,3189,200069826.665,19545339.000
35,999564.069,98.180,35,1319,98137374.275,9587294.000
36,999564.069,47.956,27,344,47934793.532,4682874.000
