 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,310.272,68,3805,310136857.351,30298072
2,999564.069,216.658,54,2604,216563810.960,21156679
3,999564.069,104.593,35,1054,104547379.553,10213504
4,999564.069,49.621,27,293,49599392.705,4845493
5,999564.069,244.321,69,2975,244214701.121,23857966
6,999564.069,172.118,52,2084,172043350.177,16807360
7,999564.069,86.941,35,853,86903512.722,8489829
8,999564.069,45.258,28,237,45238355.579,4419452
9,999564.069,323.214,68,4095,323073222.693,31561859
10,999564.069,229.758,52,3975,229657527.032,22435838
11,999564.069,110.481,35,1686,110433189.481,10788504
12,999564.069,51.162,26,465,51139458.377,4995946
13,999564.069,417.587,65,4095,417405425.967,40777416
14,999564.069,290.377,52,3774,290250394.576,28355312
15,999564.069,134.783,35,1527,134724142.014,13161550
16,999564.069,56.873,28,473,56848151.489,5553643
17,999564.069,336.474,69,4095,336327534.369,32856707
18,999564.069,234.444,53,2929,234341454.573,22893423
19,999564.069,112.154,36,1221,112105353.200,10951862
20,999564.069,51.199,27,332,51177107.088,4999624
21,999564.069,335.868,66,3340,335721817.992,32797533
22,999564.069,234.102,52,2305,233999709.094,22860037
23,999564.069,112.260,36,934,112210837.150,10962167
24,999564.069,51.117,27,266,51094818.347,4991585
25,999564.069,329.743,63,3886,329599726.063,32199450
26,999564.069,229.780,52,2661,229679995.472,22438033
27,999564.069,110.482,35,1101,110433926.487,10788576
28,999564.069,51.005,26,297,50982691.109,4980631
29,999564.069,306.521,60,3795,306386982.256,29931737
30,999564.069,214.506,47,2559,214412859.635,20946547
31,999564.069,103.435,34,1075,103390300.974,10100466
32,999564.069,49.373,26,288,49351881.602,4821313
