 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,994804.240,102.118,52,703,101587728.180,9924368.000
2,994804.240,78.671,43,483,78262447.687,7645661.000
3,994804.240,50.346,32,217,50084127.538,4892848.000
4,994804.240,36.147,26,80,35959278.984,3512955.000
5,999564.069,96.880,52,685,96837787.443,9460334.000
6,999564.069,74.980,43,470,74947170.560,7321783.000
7,999564.069,48.765,33,212,48743432.163,4761872.000
8,999564.069,35.746,26,78,35730203.261,3490576.000
9,999564.069,94.350,53,476,94309171.844,9213307.000
10,999564.069,73.287,41,339,73255476.189,7156517.000
11,999564.069,48.109,32,157,48087732.464,4697815.000
12,999564.069,35.525,26,68,35509081.059,3468974.000
13,999564.069,98.328,52,831,98284714.010,9601688.000
14,999564.069,75.892,41,543,75858529.369,7410816.000
15,999564.069,49.294,31,241,49272888.915,4813596.000
16,999564.069,35.657,26,85,35641926.349,3481952.000
17,999564.069,167.363,60,1287,167290338.582,16343026.000
18,999564.069,120.361,49,840,120308237.599,11753223.000
19,999564.069,66.449,35,364,66419911.498,6488733.000
20,999564.069,40.029,27,111,40011787.072,3908855.000
21,999564.069,89.525,51,395,89485899.033,8742109.000
22,999564.069,69.992,42,273,69960988.766,6834670.000
23,999564.069,46.642,32,129,46621439.023,4554569.000
24,999564.069,35.265,26,59,35249542.432,3443619.000
25,999564.069,96.662,52,562,96620073.892,9439065.000
26,999564.069,74.765,43,385,74732517.631,7300813.000
27,999564.069,48.965,32,176,48943304.032,4781398.000
28,999564.069,35.847,26,72,35831776.986,3500499.000
29,999564.069,95.313,50,599,95271793.499,9307348.000
30,999564.069,74.049,42,411,74016956.687,7230908.000
31,999564.069,48.386,31,198,48365082.064,4724910.000
32,999564.069,35.653,26,75,35637156.284,3481486.000
