 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,205.127,68,1309,205037767.566,20030670.000
2,999564.069,145.810,51,889,145746697.872,14238372.000
3,999564.069,76.557,35,376,76523185.735,7475748.000
4,999564.069,42.572,26,118,42553126.256,4157125.000
5,999564.069,184.966,68,760,184884989.805,18061893.000
6,999564.069,132.874,53,513,132816126.214,12975151.000
7,999564.069,71.929,36,227,71897317.871,7023835.000
8,999564.069,41.527,28,83,41508870.976,4055109.000
9,999564.069,162.833,63,716,162762400.358,15900680.000
10,999564.069,118.699,50,501,118646811.645,11590914.000
11,999564.069,66.246,34,219,66216743.576,6468885.000
12,999564.069,39.580,26,79,39562479.696,3864961.000
13,999564.069,238.815,67,1406,238710885.376,23320284.000
14,999564.069,168.484,51,943,168410515.691,16452459.000
15,999564.069,85.730,36,404,85692776.030,8371549.000
16,999564.069,44.888,27,132,44868429.866,4383313.000
17,999564.069,210.455,70,905,210363391.696,20550944.000
18,999564.069,150.017,53,595,149952042.530,14649203.000
19,999564.069,78.375,36,254,78341225.414,7653357.000
20,999564.069,43.108,28,96,43088796.376,4209456.000
21,999564.069,158.103,65,578,158033669.009,15438718.000
22,999564.069,115.294,51,401,115243697.762,11258455.000
23,999564.069,64.790,34,181,64761320.969,6326701.000
24,999564.069,39.589,27,71,39571415.891,3865834.000
25,999564.069,245.073,69,1328,244965669.051,23931330.000
26,999564.069,172.491,52,898,172415312.892,16843698.000
27,999564.069,87.585,37,365,87547000.645,8552693.000
28,999564.069,45.358,28,120,45338373.403,4429223.000
