 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,172.565,63,1097,172489586.695,16850954.000
2,999564.069,125.073,49,747,125018953.252,12213425.000
3,999564.069,68.571,35,325,68541536.136,6696000.000
4,999564.069,40.608,28,99,40590142.109,3965356.000
5,999564.069,136.167,59,560,136107604.196,13296704.000
6,999564.069,101.055,49,390,101011164.476,9868042.000
7,999564.069,59.072,35,176,59046639.685,5768419.000
8,999564.069,38.295,27,71,38278103.844,3739487.000
9,999564.069,118.801,60,543,118748774.345,11600875.000
10,999564.069,89.078,48,371,89039212.122,8698471.000
11,999564.069,54.651,33,168,54627440.521,5336696.000
12,999564.069,37.251,27,70,37234913.128,3637575.000
13,999564.069,128.369,60,573,128313215.478,12535250.000
14,999564.069,95.590,47,400,95548610.817,9334391.000
15,999564.069,56.932,33,183,56907613.523,5559452.000
16,999564.069,37.951,27,73,37934874.117,3705956.000
17,999564.069,135.797,61,541,135737637.539,13260561.000
18,999564.069,100.903,49,379,100858809.006,9853158.000
19,999564.069,59.177,34,173,59150864.584,5778601.000
20,999564.069,38.319,27,70,38302158.893,3741837.000
21,999564.069,147.985,59,649,147920957.004,14450781.000
22,999564.069,108.736,49,437,108688911.795,10618101.000
23,999564.069,62.309,35,191,62281869.797,6084477.000
24,999564.069,39.080,27,76,39063311.833,3816196.000
25,999564.069,138.248,60,636,138187526.591,13499897.000
26,999564.069,102.106,48,417,102061469.344,9970649.000
27,999564.069,59.370,35,189,59344062.456,5797475.000
28,999564.069,38.454,25,73,38437460.868,3755055.000
29,999564.069,113.992,57,543,113942677.863,11131355.000
30,999564.069,86.484,46,378,86446374.660,8445170.000
31,999564.069,53.166,34,167,53142466.030,5191625.000
32,999564.069,36.931,27,72,36915267.587,3606348.000
