gene_cluster,response_groups
rbfox3a_AdenohypAP-184,1
igsf9bb_AdenohypAP-184,1
shisa8b_Amacrine-150,2
agrn_Amacrine-150,2
apoa1a_Amacrine-170,3
pde6ha_Amacrine-170,4
ttn.1_Amacrine-170,3
ttn.2_Amacrine-170,3
afp4.1_Amacrine-170,3
rgs6_Amacrine-170,5
svila_Amacrine-170,4
CR847968.1_Amacrine-170,1
nme2b.2_Amacrine-170,3
cdh4_Amacrine-170,5
ntm_Amacrine-170,5
nfia_Amacrine-170,2
pnp5a_BasalorEpi-73,6
rhcga_BasalorEpi-73,6
si:dkey-85k7.7_BasalorEpi-73,6
sox6_BasalorEpi-73,5
tpma_BasalorEpi-73,3
zgc:112160_BasalorEpi-73,3
ctrb1_BasalorEpi-73,4
c6ast4_BasalorEpi-73,3
tnnt3b_BasalorEpi-73,3
myhz1.3_BasalorEpi-73,3
myhz1.2_BasalorEpi-73,3
ckma_BasalorEpi-73,4
sun1_BasalorEpi-73,5
atp2a1_BasalorEpi-73,3
sept12_BasalorEpi-73,5
actb2_BasalorEpi-73,4
pvalb4_BasalorEpi-73,3
pvalb1_BasalorEpi-73,3
rplp2_BasalorEpi-73,6
prelid3b_BasalorEpi-73,6
xpr1b_BasalorEpi-73,4
apoda.2_BasalorEpi-73,4
mylz3_BasalorEpi-73,3
pcdh7a_BasalorEpi-73,5
itga6b_BasalorEpi-73,1
bzw1b_BasalorEpi-73,6
ttn.2_BasalorEpi-73,3
si:ch73-22o12.1_BasalorEpi-73,4
tuft1a_BasalorEpi-73,6
prss1_BasalorEpi-73,4
igfbp1a_BasalorEpi-73,6
flrt2_BasalorEpi-73,5
apobb.1_BasalorEpi-73,3
sesn1_BasalorEpi-73,4
si:dkey-7c18.24_BasalorEpi-73,1
ela2l_BasalorEpi-73,4
actc1b_BasalorEpi-73,3
lpin1_BasalorEpi-73,4
fosl2_BasalorEpi-73,1
fosl1a_BasalorEpi-73,4
fam107b_BasalorEpi-73,1
mtss1la_BasalorEpi-73,6
itga3b_BasalorEpi-73,5
atp2a1l_BasalorEpi-73,3
mylpfb_BasalorEpi-73,3
pvalb2_BasalorEpi-73,3
cyt1l_BasalorEpi-73,1
krt91_BasalorEpi-73,5
si:ch211-250g4.3_BasalorEpi-73,5
nme2b.2_BasalorEpi-73,3
porb_BasalorEpi-73,6
foxo1a_BasalorEpi-73,6
zgc:162730_BasalorEpi-73,4
ulk2_BasalorEpi-73,4
ctrl_BasalorEpi-73,4
krt5_BasalorEpi-73,1
znf385a_BasalorEpi-73,5
pfn1_BasalorEpi-73,1
ccng2_BasalorEpi-73,6
prodha_BasalorEpi-73,1
MDFI_BasalorEpi-73,5
slc20a1b_BasalorEpi-73,6
ucp3_BasalorEpi-73,4
ucp2_BasalorEpi-73,4
mmp30_BasalorEpi-73,6
ptgdsb.1_BasalorEpi-73,5
midn_BasalorEpi-73,1
cpa5_BasalorEpi-73,3
pkp3a_BasalorEpi-73,6
CR381618.1_BasalorEpi-73,5
tnni2a.4_BasalorEpi-73,3
mt-nd1_BasalorEpi-73,3
mt-nd2_BasalorEpi-73,3
hsp90b1_BrancPorEp-120,5
tcp11l2_BrancPorEp-120,4
si:dkeyp-82b4.2_BrancPorEp-120,4
si:dkeyp-4c4.1_BrancPorEp-120,4
si:dkey-27n6.4_BrancPorEp-120,4
CR926130.2_BrancPorEp-120,1
CR926130.1_BrancPorEp-120,5
kdm6ba_BrancPorEp-120,6
si:dkey-85k7.7_BrancPorEp-120,6
ponzr3_BrancPorEp-120,6
ponzr4_BrancPorEp-120,5
eif4a1a_BrancPorEp-120,6
dok4_BrancPorEp-120,3
tpma_BrancPorEp-120,3
zgc:136461_BrancPorEp-120,3
ctrb1_BrancPorEp-120,4
cebpa_BrancPorEp-120,6
tnnt3b_BrancPorEp-120,3
nqo1_BrancPorEp-120,3
myo9aa_BrancPorEp-120,3
camk2d1_BrancPorEp-120,3
SEMA4F_BrancPorEp-120,3
stim2b_BrancPorEp-120,5
swap70a_BrancPorEp-120,5
ppargc1a_BrancPorEp-120,6
hk2_BrancPorEp-120,5
arap1a_BrancPorEp-120,3
zfand5a_BrancPorEp-120,6
noxa1_BrancPorEp-120,5
camkk1a_BrancPorEp-120,4
myhz2_BrancPorEp-120,3
myhz1.2_BrancPorEp-120,3
myhz1.1_BrancPorEp-120,3
ckma_BrancPorEp-120,3
hsd20b2_BrancPorEp-120,3
ctsla_BrancPorEp-120,4
si:ch211-284f22.3_BrancPorEp-120,5
rasa4_BrancPorEp-120,1
ABR_BrancPorEp-120,5
ak5l_BrancPorEp-120,3
stip1_BrancPorEp-120,2
vasnb_BrancPorEp-120,4
abca3b_BrancPorEp-120,3
sun1_BrancPorEp-120,3
hspbp1_BrancPorEp-120,2
arl5c_BrancPorEp-120,6
mgat3a_BrancPorEp-120,4
atp2a1_BrancPorEp-120,3
hsp70.1_BrancPorEp-120,2
hsp70.2_BrancPorEp-120,2
hsp70.3_BrancPorEp-120,2
fthl27_BrancPorEp-120,2
dnajb1a_BrancPorEp-120,2
CR394535.1_BrancPorEp-120,5
s1pr2_BrancPorEp-120,5
pvalb1_BrancPorEp-120,3
noxo1a_BrancPorEp-120,5
sec23b_BrancPorEp-120,6
agap1_BrancPorEp-120,5
stx8_BrancPorEp-120,3
atp1b1a_BrancPorEp-120,6
vdrb_BrancPorEp-120,6
prss60.2_BrancPorEp-120,5
krt4_BrancPorEp-120,6
srsf3a.1_BrancPorEp-120,4
ip6k2a_BrancPorEp-120,5
ENSDARG00000091625_BrancPorEp-120,4
slc2a1b_BrancPorEp-120,6
sdc4_BrancPorEp-120,6
rps10_BrancPorEp-120,6
ddit3_BrancPorEp-120,6
prelid3b_BrancPorEp-120,6
foxq1a_BrancPorEp-120,6
egfra_BrancPorEp-120,1
f3b_BrancPorEp-120,6
arhgap29b_BrancPorEp-120,5
elovl1a_BrancPorEp-120,1
rreb1b_BrancPorEp-120,5
csrnp1a_BrancPorEp-120,6
tesk2_BrancPorEp-120,3
zswim5_BrancPorEp-120,5
plk3_BrancPorEp-120,1
crema_BrancPorEp-120,6
per2_BrancPorEp-120,4
jund_BrancPorEp-120,6
mylz3_BrancPorEp-120,3
klf3_BrancPorEp-120,6
BX323590.3_BrancPorEp-120,3
arfip1_BrancPorEp-120,5
sugt1_BrancPorEp-120,1
prkx_BrancPorEp-120,5
nr3c2_BrancPorEp-120,3
hpgd_BrancPorEp-120,4
FO834828.2_BrancPorEp-120,4
abca1a_BrancPorEp-120,4
ucp1_BrancPorEp-120,6
dnajb1b_BrancPorEp-120,2
bzw1b_BrancPorEp-120,6
irs2b_BrancPorEp-120,6
crfb4_BrancPorEp-120,5
scel_BrancPorEp-120,6
tsc22d1_BrancPorEp-120,5
neb_BrancPorEp-120,3
nabp1a_BrancPorEp-120,1
hspd1_BrancPorEp-120,5
rcan1a_BrancPorEp-120,2
nab1b_BrancPorEp-120,5
ttn.1_BrancPorEp-120,3
ttn.2_BrancPorEp-120,3
itprid2_BrancPorEp-120,3
fign_BrancPorEp-120,4
grb10b_BrancPorEp-120,4
sntb1_BrancPorEp-120,5
nbeal2_BrancPorEp-120,5
myh14_BrancPorEp-120,5
rapgef5b_BrancPorEp-120,5
hdac9b_BrancPorEp-120,5
osbpl3b_BrancPorEp-120,5
tuft1a_BrancPorEp-120,1
si:ch211-105c13.3_BrancPorEp-120,5
cadm4_BrancPorEp-120,3
si:dkey-79d12.5_BrancPorEp-120,6
prss1_BrancPorEp-120,4
prss59.2_BrancPorEp-120,4
trim35-28_BrancPorEp-120,5
nr4a3_BrancPorEp-120,6
rhbg_BrancPorEp-120,3
hivep3b_BrancPorEp-120,5
ptprub_BrancPorEp-120,6
stt3b_BrancPorEp-120,5
gapdhs_BrancPorEp-120,2
paqr6_BrancPorEp-120,4
nr2f5_BrancPorEp-120,5
eif3ha_BrancPorEp-120,5
nkd2a_BrancPorEp-120,3
sptlc2b_BrancPorEp-120,1
dsc2l_BrancPorEp-120,4
flrt2_BrancPorEp-120,5
nfkbiaa_BrancPorEp-120,6
sox7_BrancPorEp-120,6
prkchb_BrancPorEp-120,4
akap12b_BrancPorEp-120,5
gmds_BrancPorEp-120,5
pdia6_BrancPorEp-120,5
apobb.1_BrancPorEp-120,3
sesn1_BrancPorEp-120,4
ptgs2b_BrancPorEp-120,6
ncoa1_BrancPorEp-120,3
hivep2a_BrancPorEp-120,5
fosab_BrancPorEp-120,6
hsp90ab1_BrancPorEp-120,6
hsp90aa1.2_BrancPorEp-120,5
hsp70l_BrancPorEp-120,2
mknk2b_BrancPorEp-120,4
slc38a5a_BrancPorEp-120,6
rhocb_BrancPorEp-120,5
cebpb_BrancPorEp-120,6
dock8_BrancPorEp-120,3
RALGDS_BrancPorEp-120,6
adrb3a_BrancPorEp-120,5
