gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ptpn12,0.5674939513987849,-15.92601486616095,275.97939925903086,2.1669216544660905,0.8255993211053196,NA
phtf2,0.4640907858691566,15.158714007512415,129.90068282911085,4.980145949812961,0.41830801293344166,NA
phtf2.1,0.9718440722051752,-0.6075919690414114,2.1403463292898133,1.9966694944563912,0.8496056832386096,NA
CU856344.1,0.4347617094494642,-3.0571349597601007,469.52999482958995,6.150843190468148,0.2918167543010256,NA
si:zfos-932h1.3,0.9162257073513213,-1.1088499064606485,2.0790228491224743,2.1541251164517448,0.8274340302555999,NA
mansc1,4.971463494481526,0.9879159900618589,1.347695224386305,16.061867046444263,0.006669642602832429,NA
lrp6,4.058678238914983,1.4363249996533778,1.0543403648834242,3.327784015139308,0.6495907229415269,NA
dusp16,11.804210251611197,-0.726804896268581,0.6868119571419589,5.570865998059205,0.35023772599483344,NA
crebl2,6.968893944705875,-1.9218302586941867,1.0116539347162266,4.914665525930616,0.42638313935787,NA
gpr19,3.792111772476646,0.4378245017382002,1.0107165424202824,1.3973163413152179,0.9246066110210489,NA
tbk1,23.87604398524057,-0.23468201510554512,0.454314482177347,4.170041606879806,0.5252030623491547,0.875007688820042
eps8a,22.562013348799955,-0.004236088581080628,0.5151315476823729,4.370053107112938,0.49745579278288127,0.8614551674415334
ptpro,2.3810063549341653,-0.07026915678010498,1.648701368459489,0.6920179782634435,0.983403873444768,NA
ptpro.1,2.369059416990865,-0.6092702215498965,1.491731938728947,1.6989990993793143,0.889025831801329,NA
RERG,1.5928335220239225,0.42547545918911,1.7087257459538023,3.4092798550593955,0.6371569678021206,NA
si:ch73-252i11.1,3.3276860438264415,0.23433343229247355,1.0994901587800237,0.8937214005545044,0.9706745233749576,NA
CABZ01085275.1,2.4286508790486,-17.644078211335273,264.33545122530523,7.150798890098756,0.20966462049130585,NA
echdc3,0.5059965280296834,-0.007413288447283426,2.4333194009595136,2.5957824521363797,0.7620059686861822,NA
FO834823.1,0.17601181347951636,-14.304544478474286,288.4909737704712,2.3953090562640806,0.7921724893194952,NA
msgn1,0.3263156372026211,14.210389273581427,131.01676388352922,3.4132990972326915,0.6365452393040687,NA
si:ch211-51e12.7,27.863436727405144,-0.5340324012080238,0.4734354210425399,5.641913214799018,0.3426353501872863,0.7635053415644959
mrps10,17.932603531161107,-0.9557207012247728,0.5783986909291983,5.11133605391386,0.4024443662223563,0.8048715017766799
tulp4a,16.361416165301968,-0.42176405426934865,0.5679515776236913,2.3406549900849427,0.8002777060285766,0.9725745168508221
tmem181,37.099814444602906,-0.13333729651437812,0.4848897681719141,4.878668373432163,0.4308665601634736,0.8233630128317201
dynlt1,3.642574672227177,-2.648536846202461,1.6335192711511455,5.744562843227371,0.33187277699669443,NA
rpl18a,596.8897063318175,-0.11672663579781235,0.4339946837939467,12.25775727169966,0.03142160954752075,0.23636640306406023
BX890562.3,0.053907999472370155,-2.1864312878034684,489.55454911779316,1.6316926116098331,0.8973904470342613,NA
BX890562.2,5.39215492359799,0.027674307461537116,0.9270016155185704,4.170071745803057,0.5251988199338758,NA
pthlha,2.5971529322455713,-1.5740945246966043,1.4440272405916943,4.123148082001009,0.5318254523667412,NA
xpot,53.227043993377215,-0.7753861359677592,0.45799602481476676,14.140969161097516,0.014738327103873827,0.15085730528465138
rtcb,25.43812432044835,-0.9739306812118912,0.5765282330536563,4.346546393132229,0.5006736225573392,0.8628566459707361
CU855889.1,0.33028420330642483,-15.994680448397858,275.48546945249274,4.980082233068636,0.4183158199174888,NA
fbxo7,5.934247031767723,-0.3511828309332773,0.7576240370998445,7.3110276604859905,0.19851724566443751,NA
CU855889.2,11.160521367688304,0.118404725201045,0.6728066443200278,2.37242334821741,0.7955736227253111,NA
ost4,15.226544409019425,0.15546565147591487,0.6192047932117273,2.7327323760124216,0.741107793963395,0.9613839374374236
agbl5,13.892386649812165,0.16805872706074912,0.627646537777046,5.355288461562495,0.3740750024339203,NA
tmem214,42.67011737625073,-0.4885826540232289,0.4067731289304977,9.709669667787594,0.08389221711574005,0.4078627553073978
mapre3b,34.943936972438664,-0.9398897335386932,0.5599512694614344,3.429115283239483,0.6341394733525411,0.927030722075176
dpysl5b,19.198828222087805,-0.06331711963915228,0.6128168646548244,1.2094470720384862,0.9439678414152428,0.9950838781525345
sobpb,56.20814531030421,-0.7131741589424636,0.5819240187756214,3.2448425404226953,0.6622962618606949,0.9369404557996903
si:ch211-152c2.3,8.980994482383174,0.1135712639962764,0.9515374708168969,0.6950950811783514,0.9832367837434749,NA
crybg1b,15.865847391705437,-0.0013015192692616407,0.5780206899898132,4.771502921067366,0.44439791116062605,0.8294221766209866
BX649468.1,1.4166786082777671,-1.7861590120055129,1.8676293475063428,4.963638286919583,0.4203339417712021,NA
mrap2b,0.4546512323801682,-2.741661631998862,477.7411764504394,5.28372686408763,0.3822438177269626,NA
ripply2,0,NA,NA,NA,NA,NA
sim1b,0.8776073230615702,14.880206386891793,117.39322612709121,5.208693178323827,0.3909456896144127,NA
atp23,6.969353585742204,-0.3888783630466403,0.7544680362662507,0.8546649057341682,0.9734164206099356,NA
rpap3,18.586013168772,-1.2778839244234719,0.5697791133060411,8.366409715233388,0.13716479154968741,0.5238031879832167
naga,116.99804197235967,0.9521277182556073,0.7581488029851718,10.16343453284577,0.07073465247292383,0.37171050926138804
ENSDARG00000103102,3.1765688786256505,-2.6703736996294527,1.735981838264135,5.022684867115238,0.41311797627596497,NA
mtpn,36.335971361427816,0.004137091588046608,0.4926474363866429,2.3912798539614926,0.7927720107701015,0.9714060822593136
si:ch211-117i20.2,17.107648735793294,-0.4472680041163455,0.7318962870235604,10.787624089970535,0.05575721445186496,0.32693746061626094
chrm2a,111.39823245921627,-0.027697855491186783,0.607697498398438,2.9271251356217363,0.7112200287750599,0.9554506669135665
ptn,126.66915295948266,0.2529572636716904,0.5039478198762826,7.660276266932442,0.17597909640518233,0.5862901369337432
CABZ01068469.1,8.86549256460726,-1.087819316677967,0.746422934329094,6.644199273986899,0.24847448949420153,NA
trim35-14,0,NA,NA,NA,NA,NA
zmp:0000000711,16.51875706066292,-0.24038920578424236,0.7179914870863723,3.638871676428991,0.6024864939959664,0.9134056853429527
slc38a4,311.97300419745073,-0.5703750461245479,0.5257057327232578,35.5987375301257,1.1425208326030392e-6,1.8711226892801773e-4
AL929171.1,3.3072925163485087,0.8477978224749846,1.2730543597218131,3.988107683351032,0.551129427941848,NA
slc38a2,53.605486413427464,-0.41471014124808064,0.48789050602178147,3.5781549860973882,0.6115961808424407,0.9161585334885451
scaf11,28.065581625483283,0.12943339694767866,0.41439492479304457,4.382982925183853,0.4956908715337955,0.860149711958517
arid2,44.0898417767725,-0.15812410307858943,0.3784023914349569,8.306790860280344,0.14011866142552779,0.5294696519805966
CR847994.1,3.545819619008724,-1.283582317464036,1.148675986713214,6.444433027382196,0.26534214740703654,NA
gas2l3,11.664414560434665,-0.056217498157166736,0.6825736516354246,3.172296835085632,0.6734423353496207,NA
fgfr1op2,13.341605067636108,-0.18164192506883822,0.7428400437628503,0.3976019861958662,0.9953953857415393,NA
tm7sf3,22.520056461137127,-0.2837128937997569,0.46508334722362793,1.0876458262406459,0.9551913557900744,0.9965199138019877
med21,8.935570057510779,-1.189672480806938,0.7570993464322245,4.240100779458331,0.515390362255113,NA
pmpcb,15.036802258422377,-0.47610770477537545,0.6133785265421492,3.448185612144087,0.6312418977612128,NA
dnajc2,11.308051941420672,-0.07350225125865285,0.8020187239076532,7.039130618819755,0.21774634447294366,NA
nudt4b,9.229953888797262,-1.2813823517763756,0.9388898177285769,8.475575433708599,0.13190046899982305,NA
ube2nb,13.86778210157603,-0.8164640742780631,0.6221520713727814,2.6632979250885995,0.7517258776093291,NA
mrpl42,8.926924456288704,-0.7306929519165043,0.7735465284928844,2.3539050610309005,0.798318192868102,NA
pwp1,35.525161295561404,-0.9704427075542511,0.4176439528130797,10.92771890794701,0.05283208896862276,0.3172692865040813
CU571163.1,0.4941887380873315,-15.6946805142953,277.6671849270854,3.353105338173524,0.6457216068971681,NA
ano6,24.48713719337217,-0.6215451137812794,0.4469344272861205,8.191839561139972,0.145975084444299,0.5390255494906633
si:ch73-177h5.2,0.4919044219113705,1.3221578799431695,3.1042261020712942,1.7567629855159232,0.8816724143842003,NA
FAR2,26.130981790157808,-0.4186085097618012,0.4730385086857303,2.184601077878,0.8230571098762134,0.9760054237606821
cpsf6,89.95824470530202,-0.1869063761166781,0.32897276191610053,2.7992007949095807,0.7309092773291327,0.9595286743543822
yeats4,10.224771904135359,-1.4402001980117656,0.7919913279658117,4.8050633651507155,0.4401309061876956,NA
kcnc2,54.14969114310427,-0.634051337676961,0.4081518975594366,4.628419126006435,0.4628873629014177,0.8404814757134617
frs2a,3.6858981113142697,-0.6615555702815281,1.203603029121778,2.4237748135154007,0.7879284017637014,NA
si:ch73-278m9.1,5.535434226819222,-1.3013886833452875,0.9361055373497815,4.791615644399442,0.44183749018919544,NA
cmah,87.85493388275698,0.37328300316179064,0.4424888693487057,2.414651450350732,0.7892902513697416,0.9706648439109947
glipr1a,17.30297782986565,0.6503299651191778,0.6817638529275334,3.011666039699989,0.6981871688167766,0.9520895839791779
krr1,8.740088404943952,-0.45129172219690683,0.8323219822326158,1.99587829919696,0.8497150580474817,NA
si:ch73-89b15.3,2.5582370061589184,0.24183958130850897,1.2401213781302374,1.3525736803974908,0.9294300524165149,NA
phlda1,11.077913956991246,0.19860050503029575,0.8441461997898448,4.772376120806086,0.4442865506270813,NA
nap1l1,67.36315209683053,-0.3994327000650119,0.42527968728047305,10.105685852329316,0.07229547328677129,0.3757005012509275
OSBPL8,48.55533985379071,0.4407868158338176,0.3642047143575834,3.2614460280343422,0.6597492491236605,0.9356930299898235
zdhhc17,24.15710146937325,-0.06666163394866448,0.47022248924008175,7.266830324999532,0.20154006171516217,0.6170199568598321
csrp2,48.111120146509954,-0.19526044459608877,0.4562258047689664,7.429644189679323,0.19059711795373888,0.6027600993714931
e2f7,2.591939012413567,0.45280299848327576,1.1145942609372685,6.176927967770148,0.2893818192880092,NA
cog5,47.32243775365259,0.12840183468073144,0.4082480180788984,4.2576694003197275,0.5129452154291247,0.8698436005743001
gpr22a,5.352491783211255,-0.32716745577290063,1.014672456284852,6.142688159572273,0.2925813489106148,NA
dus4l,2.4966683149658473,-1.1034191483380906,1.1714732674067003,7.263461442164022,0.20177208675471212,NA
bcap29,62.943274408520786,0.4099688372107032,0.3652781373411443,3.9484634657657125,0.5568596109169239,0.8954169904976936
slco1c1,7.1088346247747864,0.22302502443921962,0.8201539109054762,1.0553896594748267,0.957975643720408,NA
pde3a,167.33341562577675,-0.10867919855869262,0.4558393918388728,7.485709442243348,0.18694976716316103,0.5992758436535154
aebp2,33.283910568705274,-0.5678806439934289,0.49736063209864473,10.314939868734399,0.06678781107235247,0.36079348185442006
plekha5,266.3905031247609,0.609977727345808,0.30783827347056514,9.465857234139207,0.0918643336326135,0.4292506924484975
CABZ01085700.1,0.47743068470504113,-14.36636057124502,287.9799725465471,2.974116593427482,0.7039764734535082,NA
fgd4b,9.21366017132783,0.4123319464020913,0.6777228787257465,1.0672161994444878,0.9569641916740654,NA
pik3cg,20.142348550794313,0.7624330953041046,0.5897799340166322,3.5912944371656863,0.6096208660183375,0.915949358851143
nampta,28.143005417845593,-0.5137393694677336,0.5652462529583208,5.438261721899238,0.364763208621519,0.7804489405817644
sypl1,3.3042072573371204,-1.5587741791327234,1.2678629011559086,3.369721267577134,0.6431854620845197,NA
CU928083.1,2.2471432287069595,1.0246450546307029,1.5947607273896804,0.9216030299506315,0.9686379968240002,NA
atxn7l1,4.421115206170372,-0.9684970978496369,1.1371242952681655,2.7760156622174037,0.7344698733679691,NA
CU928073.1,5.808506019148389,0.49606056023556294,0.9302587663393596,2.674885413007246,0.7499568404887016,NA
znf800b,9.04370086664725,-0.3937765413705099,0.6576191241882166,7.809061007890875,0.16707734835052393,NA
grm8a,62.40377779249685,-0.04135239295112526,0.5182402311292567,8.287979929366145,0.14106241185167712,0.531390085189723
si:dkey-61f9.1,9.588274441678035,-2.314599301561728,1.1513712043106685,14.291065502293606,0.013862502168155079,NA
si:dkey-61f9.1.1,1.540039184619449,1.416492184521994,1.6856482304295102,7.8470968634384946,0.16486618462606875,NA
gpr37b,12.327979881442438,0.1444200217719458,0.7177361370130826,0.340315295593399,0.9968153958364349,NA
waslb,92.32061119514255,-0.006678373265443985,0.3504170540628155,2.35019804762004,0.7988667749964634,0.9725483810211323
lmod2b,0.48612873509051574,-15.235091882826246,281.1104440540698,4.041515331717424,0.5434543854884166,NA
asb15b,0.11155469747514149,-2.658248606333699,479.73194982356966,1.819095283546865,0.873567310042254,NA
CT009596.1,0,NA,NA,NA,NA,NA
CR293509.1,3.886209778084387,-0.816459756378999,1.0361506273728298,4.894955672970831,0.4288341166950835,NA
smkr1,1.974523778615134,0.4208918015000978,1.78104307296639,1.5583912151546784,0.9062347129650621,NA
cd9b,94.75343478919672,0.10768072199398544,0.6691908731835854,2.5290551192684347,0.7721130963816413,0.9674832808961783
ano2b,29.716501075789196,-0.1743965036282083,0.4257146994052083,2.1865830876520107,0.8227715790804946,0.9760054237606821
CU468826.1,4.966470772461859,-0.806907394840384,0.8902305422914751,4.322529028766539,0.5039734774729563,NA
CU468826.3,1.1653354795679531,-0.2645609884109204,1.708733124572282,1.922615429027971,0.8597457369234677,NA
ntf3,28.643002677158403,0.08666676838987282,0.6050644401120594,0.8348151351641917,0.9747597810606522,0.9987100285098367
tbc1d30,21.53231612928164,0.08100109090451042,0.5227126753243284,1.1953100057521766,0.9453265146362573,0.9951361560564204
gnsa,18.774117490980654,-0.14853490078276077,0.587381512666502,3.4425502441505245,0.6320977766069539,0.9254070271827914
FP102892.1,1.6687457501374212,-17.308128763697564,266.49750948877437,5.431846636864563,0.3654770307800818,NA
zgc:194209,2.250243433183645,0.2612515428735603,1.2308539344769074,1.468187593316003,0.9167115030306128,NA
rassf3,178.38992820858923,0.04113850025979129,0.44892783465755975,8.657356366524454,0.12353662099473924,0.4976395339108313
FP236161.1,0,NA,NA,NA,NA,NA
CABZ01020840.1,10.531388728366187,-1.310299311606744,0.8963808716123568,9.698809803443226,0.084233258296517,NA
DGKI,25.71970939316389,0.6481866570427357,0.45928163324463067,6.817856941946658,0.2345427756738651,0.6580275484056094
creb3l2,75.93884998808704,-0.06093236509573684,0.31029044294079405,14.940924076941542,0.01061776519546472,0.12245680100684864
