gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time
ptpn12,1.001963879145413,-0.327967303771067,1.843942524127352,0.033166941626991076,0.8554901753431429,NA,t1-15HF.t0-UF
phtf2,0.4352126364393154,15.629191747381274,196.0738623219373,1.7353366926190255,0.18773078500266324,NA,t1-15HF.t0-UF
phtf2.1,1.2280240136560745,0.32390853087765975,1.668656248405362,0.03787861649953683,0.8456870814893039,NA,t1-15HF.t0-UF
CU856344.1,0,NA,NA,NA,NA,NA,t1-15HF.t0-UF
si:zfos-932h1.3,1.1675507301467989,-1.8754838808255825,1.8920051756286524,1.0172563412833462,0.31317069788484514,NA,t1-15HF.t0-UF
mansc1,5.278382533658712,3.091042783969859,1.1345521748366791,8.566514520044958,0.0034240202285473757,NA,t1-15HF.t0-UF
lrp6,3.5387566024963024,1.3030027961551496,1.1121492353151115,1.3652572235422227,0.24262843273283788,NA,t1-15HF.t0-UF
dusp16,16.412271821070693,-0.14599058833672857,0.5970415995370477,0.06028444251948173,0.806046931090539,NA,t1-15HF.t0-UF
crebl2,9.412929920306235,-0.31272046971164164,0.7605950916473407,0.18387294957711475,0.6680658004871084,NA,t1-15HF.t0-UF
gpr19,3.925950066769278,0.5354731522153198,0.9791478564961684,0.30022289360147525,0.5837427202500522,NA,t1-15HF.t0-UF
tbk1,26.75603017107448,-0.4253078374481765,0.4511365346084789,0.887915913053412,0.3460427012067556,0.975206501858222,t1-15HF.t0-UF
eps8a,26.392795102046897,0.03346179468838198,0.5169638721752925,0.006926875762253815,0.9336703648921176,0.9837362265107158,t1-15HF.t0-UF
ptpro,2.3001877364203787,0.44145491890111094,1.3588971194488983,0.11289347778970438,0.7368736968199922,NA,t1-15HF.t0-UF
ptpro.1,1.9965256917971281,-0.6542881932992554,1.43355555129179,0.20966401740112062,0.6470308712202097,NA,t1-15HF.t0-UF
RERG,1.8906945298931863,1.432567130549842,1.4667624849256162,0.9974703087064789,0.31792339430497246,NA,t1-15HF.t0-UF
si:ch73-252i11.1,3.511783977315315,-0.34339617793258886,1.0868743863954522,0.10256210439169422,0.7487764064070936,NA,t1-15HF.t0-UF
CABZ01085275.1,3.0692155053777177,-0.6867527918893078,1.1444908787893442,0.3748762518858264,0.5403582170136296,NA,t1-15HF.t0-UF
echdc3,0.5555526566956346,-0.48448618654186,2.3942025096801527,0.04756469182325773,0.8273564098768283,NA,t1-15HF.t0-UF
FO834823.1,0.1453673137438564,-15.636762397868441,278.102646943615,0.7523662025990614,0.3857281095438583,NA,t1-15HF.t0-UF
msgn1,0.24938242252676213,14.93505549483806,197.82209213058857,0.9656142434396031,0.32577641494879306,NA,t1-15HF.t0-UF
si:ch211-51e12.7,26.87858356998654,-0.09450138758060837,0.4519813955257733,0.0438008362268647,0.8342245951939654,0.9837362265107158,t1-15HF.t0-UF
mrps10,19.254273066862254,-0.8287898794637144,0.5529139450879884,2.2560506070340054,0.1330931020140695,0.8254295025066951,t1-15HF.t0-UF
tulp4a,20.53663815870255,0.15290660866121578,0.5037153275882944,0.09241757203329826,0.7611259213287251,0.9837362265107158,t1-15HF.t0-UF
tmem181,37.22156030501195,0.5807698405295568,0.4158944965590149,1.9631867494314648,0.16117291103874823,0.8718488507084143,t1-15HF.t0-UF
dynlt1,4.271571964393604,-0.5199952340426768,0.934104382178796,0.31134900969532,0.5768535565356246,NA,t1-15HF.t0-UF
rpl18a,703.8519523384763,-0.19428335880775055,0.35564458528774134,0.298517848854857,0.5848130917328468,0.9837362265107158,t1-15HF.t0-UF
BX890562.3,0,NA,NA,NA,NA,NA,t1-15HF.t0-UF
BX890562.2,5.007371944315896,-0.18505867344319069,0.8995958618752503,0.048996842214354075,0.8248181276303388,NA,t1-15HF.t0-UF
pthlha,3.929054449861457,-0.45487336621577135,1.0392870285171332,0.21393866223899494,0.6436976812511871,NA,t1-15HF.t0-UF
xpot,50.33143614912561,0.07278971764730996,0.3803147040804206,0.0366260990958267,0.8482283083527172,0.9837362265107158,t1-15HF.t0-UF
