gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time,short_cell_type,seurat_clusters,short_cell_type_cluster
prss1,63.658100402663734,-3.607155598924216,0.6741261388805312,24.060622392714222,9.334986615649593e-7,0.015621166602628028,t4-120HF.t0-UF,Cholangio,151,Cholangio-52
mylpfa,232.31019857139322,-2.525607388669798,0.4738026065969107,25.732345021815476,3.9219842879840515e-7,0.007855342330403256,t1-15HF.t0-UF,EntericGli,26,EntericGli-57
BX322555.3,9.067704578477915,-21.080530366485547,244.84886628877533,34.219717687449084,4.9227632692653924e-9,9.754455418049374e-5,t3-60HF.t0-UF,EntericGli,26,EntericGli-57
ctrb1,75.42834101522458,-2.5920628408876616,0.5252658554292797,20.84066880122279,4.991179554064842e-6,0.0034439138923047408,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
rpl36a,59.236522323410895,-2.1151188432345407,0.47804304541472464,17.631824191481442,2.6806486026690157e-5,0.010564341816155471,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
zgc:194659,50.430147007881324,-2.0051398916775267,0.5155876078741719,13.6832973306283,2.163703554140225e-4,0.02714464458830464,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
atp2a1,113.55591317648232,-2.062146039331775,0.5258376362336026,13.448412792855358,2.452135477588163e-4,0.02819900760026545,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
ntn1a,19.679324797133884,2.262501123016159,0.6718214973512496,11.87299228030998,5.695383328766777e-4,0.04623311172763619,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
nfixa,64.58000386422086,1.7564765816566308,0.4784529979190539,14.060857685636122,1.769890577859032e-4,0.026552678125524448,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
prss59.1,44.48590668924405,-2.135568001802608,0.5444872743846098,13.910037600659571,1.917715916923599e-4,0.026552678125524448,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
armc2,18.975286823317155,-2.9405899683234127,0.7423688576846198,14.381456199298782,1.492650341259506e-4,0.026552678125524448,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
rps29,52.7585620515311,-1.6769527877317452,0.4622022200122995,12.248764786989227,4.655662463990107e-4,0.040155088751914675,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
lmx1bb,15.083066477692133,3.008676577668747,0.8455705742495239,13.903783939565233,1.9241071105452498e-4,0.026552678125524448,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
lpin1,148.58711793567343,-2.7669381353725235,0.49190232931316147,26.067250584639936,3.297296047791988e-7,4.5502685459529436e-4,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
rpl39,68.53885857671047,-2.026343020770785,0.46122683426940825,17.378860690371155,3.0621280626537596e-5,0.010564341816155471,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
cspg5b,34.229969523311425,2.3687110029117155,0.6773572197208716,12.890908483629268,3.3018211909369014e-4,0.031073041310750536,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
ulk2,35.522995570957484,-2.1634954991453594,0.5396534582386839,14.777411522731057,1.2097598414473035e-4,0.026552678125524448,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
si:dkey-151g10.6,113.91321830101386,-1.5686460678807603,0.4188302876974259,12.84849683812358,3.3775044902989714e-4,0.031073041310750536,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
rps12,74.68642630338076,-1.7838523207934973,0.46649488001057343,13.29832855597116,2.656428252198919e-4,0.02819900760026545,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
hbp1,43.13380773243184,-2.33713298139806,0.5522628032236832,15.991343001185442,6.363279275827167e-5,0.01756265080128298,t4-120HF.t0-UF,EntericGli,26,EntericGli-57
lpin1,143.28396537930368,-2.6615737385884852,0.4067282099403732,35.94155553681867,2.03325664605465e-9,4.015885201622539e-5,t4-120HF.t0-UF,EntericGli,43,EntericGli-110
lpin1,89.04041306937377,-2.2229524672236156,0.3972701956010714,28.69188573226058,8.485854922879671e-8,0.0014696652140935302,t5-240HF.t0-UF,EntericGli,43,EntericGli-110
myhz1.1,168.4644448364074,-3.041997563732362,0.5151648413337769,30.70163248476058,3.0091177714862384e-8,5.572886112792514e-4,t1-15HF.t0-UF,EntericMoN,137,EntericMoN-149
