gene,log2FC_EW1H,log2FC_EW4H,log2FC_EY1H,log2FC_EY4H,padj_EW1H,padj_EW4H,padj_EY1H,padj_EY4H
zgc:194989,-0.669030837,0.60854407,2.144829039,-0.40383243,1,1,0.004903053,1
si:dkey-70b24.5,-0.916869669,0.138749306,2.74665563,-0.130820768,0.564228214,1,0.008339702,1
si:dkey-201l21.1,0.019986424,0.514045652,3.413767612,-1.120721105,1,1,5.53E-12,0.398617609
h2ax1,-0.056514506,0.084653853,1.193110235,-0.158424825,1,1,0.043556809,1
si:ch73-21k16.1,-0.230257206,0.084376848,1.727859611,-0.637403266,0.936756602,1,0.001181559,0.450036637
hist2h2l,-0.256442119,-0.157023961,1.417079025,-0.473594867,1,1,0.010011852,1
tecta,-1.561026386,-1.302849435,2.413507648,-1.404643801,0.177562208,0.71922391,0.277592638,0.005538315
mfsd2aa,-1.033499135,-0.609441068,2.631503048,-1.116172442,0.275155953,1,3.43E-04,1
fdps,-0.632393029,-0.428716294,1.306588113,-0.465185262,0.221002142,1,0.010556756,0.979256084
zgc:113263,-0.499368122,0.068484988,1.465213495,0.33216267,0.546315547,1,0.001851349,1
ENSDART00000097488,-0.450672407,-0.145211789,1.650203434,0.340665384,1,1,0.02407968,1
tmem183a,-0.009558036,-0.14345899,1.284237774,0.367705873,1,1,0.025110043,1
per2,-0.110461258,-0.345061969,1.434767741,0.359538694,1,1,0.004919075,1
ttc19,-0.094446835,-0.054118157,1.273337522,0.156065766,1,1,0.007089744,1
ENSDART00000126223,0.035476848,-0.207790607,2.112112221,0.294430827,1,1,5.63E-05,1
sox19a,0.132326174,-0.391227943,1.601540174,0.283969612,1,1,0.017868807,1
si:dkey-207j16.10,0.355023773,-0.519414372,2.916687409,0.590427452,1,1,0.045796508,1
si:ch73-80e5.5p,0.582448642,-0.277820003,2.700862831,0.729489544,0.794197837,1,2.37E-06,0.970157226
si:dkeyp-87d8.8,0.194176962,-0.235376692,1.522283395,0.438982677,1,1,0.00546923,1
gcnt4b.2,0.175935486,-0.134959555,1.480037624,0.387622675,1,1,0.007431886,1
ENSDART00000125869,0.367132204,-0.326348805,2.06196084,0.756955582,1,1,0.001853859,0.903678147
zgc:172079,-0.250625324,-0.573859942,1.095899343,0.676734739,0.337616561,0.376402664,0.010024126,0.713216287
clstn2b,0.079906298,-1.231112581,3.076226662,1.53124306,0.91359365,1,0.021614202,0.364570984
zbtb16b,-0.362293223,-0.306356067,1.381436106,0.451074184,0.830588121,1,0.017739568,1
ENSDART00000108866,-0.330696905,-0.469007464,1.857948006,0.535961097,1,1,0.047557266,1
gal3st1,-0.342254531,-0.533303952,1.615553814,0.594866686,1,1,0.049755515,1
cpne5,-0.202830273,-0.502113082,1.593052145,0.619223171,1,1,0.048054763,1
si:ch211-130m23.2,-0.342486194,-0.487655545,1.475302463,0.746492624,0.988381869,1,0.007772419,0.637296911
gal3st1a,-0.370673627,-0.648795659,1.642700243,0.791387834,1,1,0.037686769,0.970987066
abcg2b,-0.521197179,-0.503260059,1.715365666,0.784529008,0.710888552,1,5.49E-04,0.523583913
si:ch211-271e10.2,-0.126917314,-0.330724486,1.595792343,0.7387775,1,1,0.034218485,0.970987066
cpne5b,-0.075826282,-0.352507166,1.584897223,0.72093779,1,1,0.044716057,1
fhod3b,-0.292757741,-0.497124634,2.14370459,0.986067566,0.425460868,1,0.031832157,0.41815521
htra2-9,-0.033875256,-0.305104002,1.704537107,0.932728832,0.317201599,1,0.032648969,0.119776807
atf3,-0.323115925,-0.090667159,1.724085898,0.811323961,0.954575923,1,2.19E-04,0.434541579
si:dkey-256e7.5,-0.213837958,-0.258869433,1.600784696,-0.029789901,0.365511256,1,0.002575773,1
tlnrd1,0.097094592,-0.445948062,1.285424443,0.056105187,1,1,0.037119717,1
si:ch1073-184j22.2,-0.068846444,-0.432462244,1.660553812,0.081251455,1,1,0.027869649,1
duox,-0.37945144,-0.408481433,1.357077865,0.248335194,0.990467524,1,0.030863928,1
ENSDART00000111056,-0.226608375,-0.619565674,1.741406469,0.219114616,1,1,0.002933948,1
dok1a,0.133464585,-0.876256215,1.690104354,-0.180410683,0.990836765,0.757624125,0.010501958,1
crp6,-0.097617053,-0.593312055,1.331389182,-0.216860783,1,1,0.027414673,1
ENSDART00000111804,-0.283650735,-1.072497743,2.322792118,-0.377211262,1,1,1.72E-05,1
chek1,-1.247598793,-1.304782007,2.157344425,0.256663332,0.515739389,0.577876282,0.04841713,1
ENSDART00000128066,-0.762031166,-1.273222681,2.165886567,0.009796121,1,1,0.033909671,1
ENSDART00000126659,0.029144634,-3.606511389,5.219019075,1.643468884,1,1,0.021548344,1
ift56,-1.414159901,-0.364076903,0.963580559,0.174841564,0.023750825,1,0.177785701,1
h1-10,-1.406510592,-0.326838466,0.940083372,-0.282252107,0.00723505,1,0.175334546,1
kcnh6b,-1.894355723,-1.076367502,2.867586181,1.637637207,0.060004244,1,0.045304874,1
ENSDART00000124855,-1.161564973,-0.832950215,1.701948502,0.581376339,0.19462903,1,0.011501768,1
pcolce2a,-3.673134249,-0.713551812,3.721928931,2.069519944,0.092399175,1,0.007147181,0.576627402
grin2ca,-1.674648676,-0.128840252,1.843512018,0.356915101,0.00508373,1,0.043866282,1
eevs,-1.293902322,0.10836383,1.852649271,0.744776331,0.034005237,1,0.012135429,1
si:dkeyp-85e10.3,-2.107297497,-2.176689439,-0.774609779,2.818716674,0.042823199,0.098756971,0.706045902,0.31431796
cyp26a1,-0.892950486,-1.13295439,0.138827991,1.735793963,0.395226552,0.639705852,0.989650376,0.003051706
si:ch211-251f6.6,-1.003771791,-2.130343841,0.79800965,1.56452861,0.270675188,0.024475982,1,0.491705421
iqck,-1.694181047,-1.908540362,1.104767101,0.740738353,0.016416496,0.102812123,0.52191501,0.979256084
sdr42e2,-2.716225299,-3.466679065,2.686848157,2.094357895,4.85E-06,3.69E-07,0.893100264,0.812869805
si:ch73-267f5.2p,-1.69178347,-1.767372399,2.314410289,3.278353803,0.354801459,1,0.138267292,0.002777451
fgf9,-1.238758346,-1.235291183,0.802978462,1.608137968,0.198019174,0.967858758,0.550603302,0.02519934
ENSDART00000123791,-0.063697726,-0.597997496,0.538653273,1.35142596,1,1,0.717935488,0.031152367
ppp1r14c,-0.456390181,-1.566021049,2.268821735,3.110955209,0.826617099,1,0.020450503,0.004281366
stk25a,-0.895217147,-0.265627764,-0.788468467,1.553087405,0.138368812,1,0.250835592,0.003340588
si:dkey-184p9.7,-1.043130163,0.25207646,-0.94720143,1.553377,0.215622648,1,0.373696274,0.016533283
arl8bb,-0.462348807,0.102085392,-0.787121794,1.423308186,0.868749678,1,0.476684783,0.027539347
zgc:110286,-0.236103819,0.759133164,-0.206125853,1.956354392,1,1,1,1.03E-04
si:dkey-103g5.4,-0.269635024,-0.38755201,0.067788962,1.432278301,0.817038589,1,1,0.015786532
xirp2c,0,0,0,2.711479319,1,1,1,0.042000043
cpt1b,-0.281686808,-0.340122448,-0.123009259,2.811517779,0.959550962,1,1,3.14E-10
zgc:174917,-1.000471064,0.128173303,-0.257305109,2.185670441,0.127705877,1,1,4.63E-06
spg20b,-0.725439347,-0.108775328,-0.158434792,1.483508034,0.371000186,1,1,0.007558222
ENSDART00000024443,-0.626488021,-0.005346993,-0.103976107,1.317245158,0.565293079,1,1,0.035009552
ENSDART00000155435,-0.763750647,-0.292782225,-0.369125064,1.674560605,0.569943088,1,1,0.042289495
si:ch211-103a14.5,-0.381294922,0.186461164,-0.16525144,1.39853393,1,1,0.90555077,0.048309035
ccser2b,-0.349510051,0.251612453,-0.328723934,1.346472308,1,1,1,0.035778507
atf5a,-0.212457493,0.077453143,-0.179660274,1.557903447,1,1,1,0.006602933
ENSDART00000156453,-0.364125665,0.007540504,-0.407976768,1.878602847,1,1,1,0.002293152
si:ch211-11k18.4,-0.465258511,0.12119494,0.455801431,1.382224405,0.819614682,1,0.600838676,0.017177489
cpt1ab,-0.894058247,-0.017399272,0.592398783,2.012361553,0.208487769,1,0.605666002,3.16E-05
klf11b,-1.297994786,-0.139133848,1.281591096,3.078188172,0.012634001,1,0.018728611,1.04E-11
si:dkey-103g5.5,-1.375577011,-0.442011057,0.180645632,2.051804765,0.096243205,1,1,0.008868389
me1,-1.337433124,-0.223591553,0.382481938,2.135365763,0.026196179,1,0.899271313,1.28E-05
insl5b,-1.763779281,-0.557871079,0.687119469,2.360497495,0.010493917,1,0.829086614,9.69E-04
angptl4,-0.881388641,-0.298665332,0.556252221,1.730497459,0.175436615,1,0.579172106,6.33E-04
fasn2,-1.570265042,-0.799328648,0.251708431,1.924439797,0.001674855,1,1,1.05E-04
si:ch211-153b23.4,-1.516530697,0.170947585,0.264995927,1.83231688,0.002836506,1,1,2.79E-04
unc93a,-1.268920413,-0.231449297,-0.157133399,1.591515304,0.022554221,1,1,0.003214096
si:dkey-14a7.5,-1.245329573,-0.167867003,-0.135106937,1.449328553,0.026316677,1,1,0.017177489
irg1l,-1.604707257,0.304529908,-0.427389958,1.734266892,0.00129257,1,0.843369886,8.70E-05
ENSDART00000131547,-1.654707195,0.169758093,-0.398780215,1.655656527,7.79E-04,1,0.918420747,0.001787718
ENSDART00000114887,-1.524773292,-0.805463752,2.571123392,3.986695186,0.567592752,1,0.350823565,0.011024492
nr0b2b,-1.351523132,-0.757620007,4.266069485,4.996179687,0.617814901,1,7.39E-11,3.59E-16
si:ch211-236g6.1,-0.591523532,-0.256765256,2.082327697,2.16295236,0.723031257,1,0.015961261,0.036806283
si:dkey-146n1.4,-0.991116024,-0.345886284,2.03043043,2.35396953,0.262776032,1,0.296989098,0.009765716
ENSDART00000058418,-1.411210854,-0.020326892,1.655511244,2.612638327,0.056398254,1,0.265517422,0.00125399
