gene,log2FC_EW1H,log2FC_EW4H,log2FC_EY1H,log2FC_EY4H,padj_EW1H,padj_EW4H,padj_EY1H,padj_EY4H
zgc:110425,-0.349475431,3.008647979,3.036485193,2.019344981,1,8.50E-06,3.59E-04,0.16806065
sh3tc2,2.271538835,4.772458967,3.839571249,3.93241709,0.696669459,3.87E-05,0.014920255,0.060475955
si:dkey-7f3.14,0.604804477,1.895634999,1.638909405,2.148912684,0.676409698,4.56E-04,0.00757853,9.03E-05
clec19a,0.741359652,3.292633747,-1.19904765,2.222369093,0.517329702,1.07E-12,0.272396248,9.78E-05
zgc:114046,-0.707926751,1.529960535,1.792008359,0.945088861,0.329468715,0.033239692,0.001698408,0.434541579
si:dkeyp-9d4.2,1.500296981,0.37332453,2.015049819,1.123662588,0.049750137,1,0.016636516,0.576627402
tcimb,1.369477275,0.757939513,1.721653854,0.15641278,0.049140373,1,0.015760216,1
socs5b,1.305675998,0.719740336,1.284603909,-0.120354824,0.048043074,1,0.043866282,1
mttp,1.114906505,0.577054901,1.153909264,0.844517446,0.047840111,1,0.045482804,0.233855406
tmem70,1.214334985,0.71436682,1.441698141,0.406356239,0.046771385,1,0.010556756,1
prmt1,1.137501546,0.447250352,1.479379049,0.111775916,0.046601859,1,0.004863907,1
ENSDART00000132819,1.174877377,0.436695918,1.357028266,-0.005735589,0.046392564,1,0.015961261,1
rab11al,1.193909985,0.741529951,1.494084716,0.752045807,0.045369012,1,0.005425764,0.583250276
si:dkeyp-52c3.5,1.157892984,0.949535109,1.345001449,1.141272295,0.042376509,1,0.001778489,0.256539749
prelid3b,1.178852175,0.547529737,1.399001276,0.225373522,0.040783285,1,0.009338835,1
dsg2.1,1.266984416,-0.201683547,1.789090853,-0.159715697,0.04067143,1,0.001136045,1
nup153,1.137872424,0.394089405,1.138890388,0.175022739,0.039991186,1,0.037121898,1
manf,1.198699598,0.802283864,1.645286387,0.340648952,0.038242108,1,0.001136045,1
fosl1a,1.122937213,0.295832901,1.194052136,0.799189012,0.03697181,1,0.037389266,0.336897887
ENSDART00000126072,1.207955492,-5.79E-04,1.463145171,-0.345623541,0.0360868,1,0.00613366,1
slc23a2,1.256690844,-0.016980411,1.5446778,0.37414904,0.034005237,1,0.006918556,1
slmo2,1.209002096,0.533710378,1.477200068,0.268753027,0.033222949,1,0.004968199,1
ugt5a4,1.331748756,0.514527784,2.185657827,0.779892682,0.031295694,1,4.74E-05,0.741495333
rpusd2,1.308498755,0.224181139,1.531717041,0.1981194,0.030370629,1,0.007304221,1
sgk2b,1.254703863,0.173649001,1.635189384,0.095224945,0.028679912,1,8.03E-04,1
hspa4a,1.21928477,1.350469632,1.16533667,0.190477744,0.028547457,0.060936281,0.040555625,1
g3bp1,1.190374031,0.579186905,1.744342274,0.192192838,0.028134678,1,2.37E-04,1
alkbh8,1.289026957,0.724244452,1.323884964,-0.036663704,0.027595752,1,0.025612784,1
mlec,1.248124493,0.804778824,1.165713352,0.044589268,0.026922376,0.958511324,0.028865742,1
zgc:136870,1.267030351,0.578350971,1.354349515,-0.035458537,0.025227582,1,0.013691427,1
dph3,1.446085101,0.463317945,2.1165814,0.153063002,0.02520612,1,1.04E-04,1
dolk,1.319997413,0.25137162,1.469218054,0.2898879,0.023091258,1,0.007968768,1
higd1a,1.242558277,0.500301623,2.106585683,-0.297747102,0.022234647,1,4.09E-06,1
bzw1b,1.269564899,0.790776455,1.291930131,-0.115712465,0.021118453,1,0.020509963,1
chst13,1.346093381,0.388817184,1.382081949,0.251928929,0.021037538,1,0.020509581,1
mnx2a,1.366032373,-0.540892624,1.244953578,-1.077862244,0.019466458,1,0.043562916,0.199002987
si:dkey-58f10.12,1.392982818,0.846212862,1.249311365,-0.244923777,0.019427493,1,0.046289447,1
zgc:66484,1.264166628,0.229962373,1.278476559,-0.078730683,0.019087029,1,0.016825366,1
ENSDART00000147120,1.291348651,0.758259734,1.326949305,-0.108074565,0.018126105,1,0.016051307,1
otulina,1.285473632,0.430083448,1.331929021,-0.109579147,0.018046142,1,0.020757003,1
srm,1.310271464,0.609700328,1.180779694,0.40607404,0.017400376,1,0.04798905,1
slc25a25a,1.244576113,0.46928607,1.631547191,0.603997424,0.016007627,1,3.65E-04,0.759980039
selenoi,1.349700345,0.328850283,1.596195068,0.299710747,0.015982531,1,0.003051802,1
helz2a,1.306904744,1.971653778,-1.272143446,2.21747925,0.01583579,1.65E-04,7.12E-04,9.10E-06
sult1st1,1.321799552,0.483793177,1.171745143,-0.383234727,0.015501612,1,0.049663742,1
nanp,1.381592814,0.509295093,1.721578496,0.660696159,0.015359796,1,9.58E-04,0.8019602
helz2,1.327602124,1.835143956,-1.750228801,1.775131118,0.014971604,4.10E-04,8.65E-04,6.82E-04
ENSDART00000108851,1.324071563,-0.126351923,1.578527636,-0.209774519,0.014377929,1,0.002099023,1
pomgnt2,1.412123376,0.419427217,1.959163163,0.392286477,0.013984748,1,6.00E-05,1
slc22a7b.3,1.361450465,0.341768008,1.475291007,1.030552784,0.012746277,1,0.008339702,0.230327234
slc47a1,1.276255725,0.061582577,1.093018486,-0.75631367,0.012288667,1,0.017449053,0.302033175
slc25a38b,1.360809389,0.674607422,1.769489554,0.427103644,0.012092038,1,1.96E-04,1
SNORA73,1.71619013,0.739024461,1.33192547,0.206767171,0.011733598,1,0.002754854,1
hspb9,1.398876127,0.633986662,1.434636319,-0.794501389,0.011356781,1,0.012251706,0.623069024
si:ch211-221f10.2,1.382192643,0.370296031,1.300379809,0.286443713,0.011258039,1,0.024546251,1
slc27a4,1.364328921,0.493037111,1.271434621,0.075679814,0.0104382,1,0.024546251,1
abca1b,1.310990158,0.423563944,1.189833232,0.663583306,0.010262665,1,0.03833277,0.666721501
hyou1,1.35753925,1.003523685,1.142601021,-0.156626649,0.009720983,0.482397559,0.038654206,1
slc16a6b,1.373597143,0.569460124,2.77690921,-0.725242706,0.009094115,1,3.94E-11,0.474380228
eif4a1a;senp3b,1.381002429,0.492023248,1.635056421,0.070231188,0.008611332,1,0.001146829,1
mta2,1.328742042,0.367944275,1.435144077,-0.323128004,0.00847868,1,0.003670225,1
kpna1,1.400698835,0.606358571,1.254116974,0.263412439,0.007612746,1,0.028053533,1
ca15c,1.554387821,-1.412970963,2.660130704,0.093963918,0.007393998,0.297894175,8.59E-06,1
has1,1.850268803,-0.017094891,2.261222407,0.952699495,0.007135584,1,0.002111765,0.930343391
cebpa,1.416867892,0.72743225,1.665460505,-0.249859142,0.006574986,1,8.46E-04,1
ENSDART00000130067,1.542993494,-0.286009271,1.539843249,-0.461025008,0.005806349,1,0.006150506,1
ENSDART00000139624,1.470960194,1.086944431,1.353614512,-0.162163032,0.00525325,0.402396177,0.01479951,1
rcc1,1.471338539,1.06563437,1.519961973,0.680011646,0.004809179,0.422863283,0.004152237,0.729438165
bcl2l13,1.329933338,0.232366585,1.589200484,-0.024262433,0.004460662,1,5.88E-04,1
ugdh,1.459322485,0.684199697,1.311737111,0.330361042,0.004073553,1,0.017043466,1
eif4a1a,1.412869354,0.431430148,1.762510856,0.090056311,0.004065354,1,1.06E-04,1
