gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time,short_cell_type,seurat_clusters,short_cell_type_cluster
myhz1.1,50.16138804470303,4.37007423568685,0.9154408731745859,20.918687355170846,4.7919691851655614e-6,0.04408611650352316,t5-240HF.t4-120HF,AdenohypAP,251,AdenohypAP-184
ebf3a.1,21.798696068937616,3.87608255473764,0.8473679994399904,22.27932130254849,2.357315146200857e-6,0.03978912235272426,t2-30HF.t0-UF,Amacrine,120,Amacrine-170
kcnd1,28.63172623031969,-3.7780856004914516,0.7209807992379134,24.124737702044776,9.029290100354867e-7,0.008204915914192468,t4-120HF.t0-UF,Amacrine,120,Amacrine-170
kidins220a,57.00812996189987,-3.8146950896264022,0.6675561549004796,26.224969820666225,3.0386790155672563e-7,0.005522495242891932,t4-120HF.t0-UF,Amacrine,120,Amacrine-170
svila,19.480163638676785,-3.9686497515005,0.8425042576667406,20.16185909900285,7.115770342247562e-6,0.04310733673333573,t4-120HF.t0-UF,Amacrine,120,Amacrine-170
nfia,64.54397018386537,3.6621946885745884,0.6647183939775776,29.922583101512473,4.49645094884064e-8,7.768518304311974e-4,t2-30HF.t1-15HF,Amacrine,120,Amacrine-170
agrn,18.35401497985616,-4.18572117718844,0.8697665673134259,22.31778985458393,2.3105615465283745e-6,0.02661073733136729,t1-15HF.t0-UF,Amacrine,245,Amacrine-150
agrn,20.188871318322835,4.301428868880488,0.8299915679966977,28.907126526281317,7.59330254696454e-8,8.751281185376633e-4,t2-30HF.t1-15HF,Amacrine,245,Amacrine-150
pcdh7b,101.01624146376268,-21.093431635724812,244.7835237418957,25.497125957091008,4.4304239960477946e-7,0.004756503202156912,t5-240HF.t4-120HF,Amacrine,245,Amacrine-150
si:dkey-85k7.7,18.239859243127533,3.42563629956447,0.8246459795968295,18.419946208573464,1.7719344463993897e-5,0.004780303985746173,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
ctrb1,50.576837287131546,-2.051790437749534,0.47372703363249663,18.116075781709412,2.0783930372809447e-5,0.004780303985746173,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
c6ast4,11.003264223514647,-2.9710460942367862,0.7440676867824129,16.37878069312184,5.186259573119763e-5,0.008946297763631591,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
zgc:136930,76.03933997625569,2.136555632937509,0.5609564593959251,13.600553528831952,2.2611884306543564e-4,0.0260036669525251,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
prss1,57.899531860724736,-1.984900213168147,0.4474253851758618,18.964246839638555,1.331909907770765e-5,0.004595089181809139,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
CT027638.1,188.8755280488898,1.9197726248257692,0.5255323649990102,12.515131287675942,4.036694216470853e-4,0.039879061746105414,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
ela2l,40.49823570329166,-1.7491077394462977,0.49347892975710617,12.246457814758195,4.661422056544719e-4,0.04288508292021142,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
actc1b,287.5330295748178,-1.5074570485052792,0.38916381877606754,14.43020831943437,1.4545033695054417e-4,0.02230238499908344,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
fosl2,12.396444363891906,2.7575655777354076,0.8173319088808233,12.51096682094159,4.0457019162715635e-4,0.039879061746105414,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
fosl1a,7.567047934067843,19.385236706003035,187.91860477832853,24.20286736942855,8.670309984981999e-7,5.98251388963758e-4,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
krt91,327.7876645665178,1.70205014626325,0.4447162685246697,13.901981217107036,1.9259534601232884e-4,0.025505283270142974,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
krt5,171.07590978741646,1.8487207387419036,0.38787714619345676,21.605908996988475,3.3481872554591342e-6,0.0015401661375112018,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
pfn1,55.26058698337261,1.9493950975720316,0.4615715282144718,17.37278204851681,3.071937237339783e-5,0.006056104839327001,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
midn,40.12679493714388,2.979841438747233,0.58905412375325406,25.20797378415861,5.146895982506069e-7,5.98251388963758e-4,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
pkp3a,47.96768221149884,2.0499267915825246,0.5449800632092131,13.800307222944191,2.0330298258809616e-4,0.025505283270142974,t1-15HF.t0-UF,BasalorEpi,99,BasalorEpi-73
fam107b,46.531286351924294,-2.582282125385428,0.5254923999940031,24.92476519414641,5.961171273731825e-7,0.010170354310113866,t3-60HF.t2-30HF,BasalorEpi,99,BasalorEpi-73
lpin1,12.177916005565404,-6.139617514858071,1.627858474568071,25.025109858806136,5.658854122292013e-7,0.00867162805700028,t4-120HF.t0-UF,BasalorFin,160,PharyPouch-89
ucp2,20.611278900926145,-2.5967494249701613,0.5812834567435646,21.79391085203146,3.0356201265222358e-6,0.04365525303951627,t3-60HF.t2-30HF,CardiacMes,213,CardiacMes-86
myhz1.1,75.22527149445168,-3.396379595292823,0.6658747379498652,22.180384442592405,2.4819665604740546e-6,0.030131074044155024,t4-120HF.t3-60HF,CardiacMes,213,CardiacMes-86
BX005003.1,47.07987952127561,-4.851524220740599,0.9441685664032645,28.275689384573887,1.0520903630755573e-7,0.0013217411231318226,t4-120HF.t3-60HF,CardiacMus,203,CardiacMus-185
myhz1.1,81.49614057845707,4.010894505659567,0.8236744282977885,21.128683045085523,4.294517856623065e-6,0.04786165910367305,t5-240HF.t4-120HF,CardiacMus,203,CardiacMus-185
myh7l,17.357432092086725,19.841455371175538,188.5426453467408,20.10818105044583,7.318296499032577e-6,0.04786165910367305,t5-240HF.t4-120HF,CardiacMus,203,CardiacMus-185
myhz1.1,221.09915994070784,-2.086073612694845,0.3890432653314539,27.09293367153913,1.9390543971376438e-7,0.0033506859982538485,t1-15HF.t0-UF,Cartilage,119,Cartilage-78
hsp70.2,8.49303758314296,6.072548051005592,1.685616154720841,23.17047754715446,1.4825598631092702e-6,0.02547779124753281,t2-30HF.t0-UF,Cartilage,119,Cartilage-78
ctrb1,30.319316333144013,-3.001182686699702,0.5724968575168696,27.054909181093564,1.9775736272330246e-7,0.0034686641421667252,t3-60HF.t0-UF,Cartilage,119,Cartilage-78
ctrb1,29.912278428143093,-3.437418768309393,0.7751410660205788,20.089591140913363,7.389776642633931e-6,0.003122180631512836,t4-120HF.t0-UF,Cartilage,119,Cartilage-78
BX511128.3,6.887984611625021,6.067231330339301,1.8843634548701824,14.647791735797181,1.2958638102459236e-4,0.018250081994296757,t4-120HF.t0-UF,Cartilage,119,Cartilage-78
myhz1.3,45.28409273963866,-2.854176981308754,0.6476883841126402,17.82518033302216,2.421573026315654e-5,0.006820764024122425,t4-120HF.t0-UF,Cartilage,119,Cartilage-78
myhz1.2,52.893105896407604,-2.918562527427892,0.5885418323759031,22.837998139839605,1.7624646830165647e-6,9.928551047659981e-4,t4-120HF.t0-UF,Cartilage,119,Cartilage-78
myhz1.1,230.38708241120628,-2.872748184114645,0.4265750647422314,37.97621431351773,7.161237569063923e-10,1.210249149171803e-6,t4-120HF.t0-UF,Cartilage,119,Cartilage-78
