Phase,BaselineProp,PropMean.t0_UF,PropMean.t1_15HF,PropMean.t2_30HF,PropMean.t3_60HF,PropMean.t4_120HF,PropMean.t5_240HF,Fstatistic,P.Value,FDR,cluster
S,0.01171303074670571,0.003300330033003304,-0,-0,0.031056910569105697,0.07499999999999997,-9.813077866773593e-18,2.8523075916933878,0.037549395147909274,0.11264818544372782,MeningePre_135
G1,0.986822840409956,0.9966996699669969,1.0000000000000002,0.9924242424242421,0.9689430894308942,0.9249999999999997,0.9999999999999997,2.248572469204129,0.08303686771544089,0.12455530157316133,MeningePre_135
G2M,0.0014641288433382138,-0,-0,0.007575757575757575,-0,-6.133173666733496e-19,4.3368086899420173e-19,1.011278226869191,0.43323436524337566,0.43323436524337566,MeningePre_135
S,0.010962241169305725,0.0036630036630036647,-0,0.006250000000000002,0.011312434090691213,0.012820512820512817,0.03124999999999999,1.6173966902471801,0.15150650444134528,0.3686278257237837,HairCell_8
G2M,0.010962241169305725,0.010989010989010992,0.01508295625942685,-0,0.011312434090691213,-0,0.009999999999999995,1.3354974134103537,0.2457518838158558,0.3686278257237837,HairCell_8
G1,0.9780755176613886,0.9853479853479856,0.9849170437405733,0.9937499999999999,0.9773751318186175,0.9871794871794869,0.9587499999999997,0.8564710958231615,0.5095201998686726,0.5095201998686726,HairCell_8
G1,0.9915966386554622,1,1.0000000000000002,0.9999999999999999,0.9999999999999999,0.9999999999999996,0.9374999999999993,0.4738877857534036,0.7960164005763983,0.7960164005763983,PecFinMCho_237
S,0.008403361344537815,-0,-0,-0,-0,-0,0.06249999999999999,0.47388778575340373,0.7960164005763983,0.7960164005763983,PecFinMCho_237
G2M,0.008695652173913044,0.014853881627557403,0.007054673721340391,-0,0.041666666666666685,0.18749999999999997,-9.813077866773593e-18,3.201088400063445,0.0068285539302920814,0.020485661790876245,SkelFastMu_270
G1,0.9879598662207358,0.9845218986470993,0.9911816578483248,0.9983870967741935,0.9166666666666667,0.7812499999999997,0.9999999999999996,2.588023367534304,0.023946447383138905,0.03591967107470836,SkelFastMu_270
