Cluster,cell_type_cluster,cell_type_general,tissue,system,short_cell_type,short_cell_type_cluster
0,Neuron_glutamatergic_0,Neuron glutamatergic,neuron,nervous,NeuronGlut,NeuronGlut_0
1,Fast_muscle_1,Fast muscle,muscle,musculoskeletal,FastMuscle,FastMuscle_1
2,Vagal_neuron_2,Vagal neuron,PNS,nervous,VagalNeuro,VagalNeuro_2
3,Vagal_neuron_3,Vagal neuron,PNS,nervous,VagalNeuro,VagalNeuro_3
4,Pharyngeal_periderm_4,Pharyngeal periderm,periderm,integumentary,PharynPeri,PharynPeri_4
5,Cone_photoreceptor_UV_sensitive_5,Cone photoreceptor UV sensitive,eye,sensory,ConePhotUV,ConePhotUV_5
6,POSSIBLE_MULTIPLETS_mix_of_muscle_and_exocrine_pancreas_6,POSSIBLE MULTIPLETS mix of muscle and exocrine pancreas,unknown,unknown,MULTMusPan,MULTMusPan_6
7,Neuron_glutamatergic_7,Neuron glutamatergic,neuron,nervous,NeuronGlut,NeuronGlut_7
8,Neuron_unknown_8,Neuron unknown,neuron,nervous,NeuronUnkn,NeuronUnkn_8
9,POSSIBLE_MULTIPLETS_mix_of_muscle_pancreas_lens_9,POSSIBLE MULTIPLETS mix of muscle pancreas lens,unknown,unknown,MULTMuPaLe,MULTMuPaLe_9
10,Pharyngeal_periderm_10,Pharyngeal periderm,periderm,integumentary,PharynPeri,PharynPeri_10
11,Oral/Pharyngeal_epithelium_11,Oral/Pharyngeal epithelium,epithelium,integumentary,OralPharEp,OralPharEp_11
12,Nucleate_erythrocyte_12,Nucleate erythrocyte,blood,connective tissue,NucErythro,NucErythro_12
13,Periderm_maybe_HIGH_RIBO_13,Periderm maybe HIGH RIBO,periderm,integumentary,PeridermHR,PeridermHR_13
14,Mesenchyme_or_Cranial_Neural_Crest_or_Pharyngeal_arch_14,Mesenchyme or Cranial Neural Crest or Pharyngeal arch,mesenchyme,connective tissue,MeorNCorPA,MeorNCorPA_14
15,Spinal_cord_interneuron_15,Spinal cord interneuron,CNS,nervous,SpinCorInt,SpinCorInt_15
16,Cone_photoreceptor_green_sensitive_16,Cone photoreceptor green sensitive,eye,sensory,ConePhotGr,ConePhotGr_16
17,Cone_retinal_bipolar_cell_probably_ON_17,Cone retinal bipolar cell probably ON,eye,sensory,ConRetBPON,ConRetBPON_17
18,Cone_photoreceptor_blue_sensitive_18,Cone photoreceptor blue sensitive,eye,sensory,ConePhotBl,ConePhotBl_18
19,Cranial_cartilage_19,Cranial cartilage,cartilage,connective tissue,CraniaCart,CraniaCart_19
20,Skeletal_fast_muscle_20,Skeletal fast muscle,muscle,musculoskeletal,SkelFastMu,SkelFastMu_20
21,Pharyngeal_arch_21,Pharyngeal arch,mesenchyme,connective tissue,PharynArch,PharynArch_21
22,Pharyngeal_arch_22,Pharyngeal arch,mesenchyme,connective tissue,PharynArch,PharynArch_22
23,Cone_photoreceptor_red_sensitive_23,Cone photoreceptor red sensitive,eye,sensory,ConePhoRed,ConePhoRed_23
24,Pharyngeal_arch_24,Pharyngeal arch,mesenchyme,connective tissue,PharynArch,PharynArch_24
25,Fast_muscle_25,Fast muscle,muscle,musculoskeletal,FastMuscle,FastMuscle_25
26,Enteric_glia_26,Enteric glia,enteric,nervous,EntericGli,EntericGli_26
27,Pharyngeal_periderm_27,Pharyngeal periderm,periderm,integumentary,PharynPeri,PharynPeri_27
28,Epidermis_likely_fin_28,Epidermis likely fin,epidermis,integumentary,EpidermFin,EpidermFin_28
29,Vagal_neuron_29,Vagal neuron,PNS,nervous,VagalNeuro,VagalNeuro_29
30,Fin_epidermis_30,Fin epidermis,fin,integumentary,FinEpiderm,FinEpiderm_30
31,Fin_periderm_31,Fin periderm,fin,integumentary,FinPerider,FinPerider_31
32,Pharyngeal_periderm_32,Pharyngeal periderm,periderm,integumentary,PharynPeri,PharynPeri_32
33,Pharyngeal_periderm_33,Pharyngeal periderm,periderm,integumentary,PharynPeri,PharynPeri_33
34,Oral/pharyngeal_epithelium_34,Oral/Pharyngeal epithelium,epithelium,integumentary,OralPharEp,OralPharEp_34
35,Pharyngeal_arch_35,Pharyngeal arch,mesenchyme,connective tissue,PharynArch,PharynArch_35
36,Fin_periderm_36,Fin periderm,fin,integumentary,FinPerider,FinPerider_36
37,Epidermis_37,Epidermis,epidermis,integumentary,Epidermis,Epidermis_37
38,Pharyngeal_periderm_38,Pharyngeal periderm,periderm,integumentary,PharynPeri,PharynPeri_38
39,Muscle_progenitor_or_myotome_39,Muscle progenitor or myotome,muscle,musculoskeletal,MusProMyot,MusProMyot_39
40,Nucleate_erythrocyte_40,Nucleate erythrocyte,blood,connective tissue,NucErythro,NucErythro_40
41,Neural_progenitor_41,Neural progenitor,neuron,nervous,NeuralProg,NeuralProg_41
42,Mesenchyme_maybe_cardiac_42,Mesenchyme maybe cardiac,mesenchyme,connective tissue,MesmbCardi,MesmbCardi_42
43,Enteric_glia_43,Enteric glia,enteric,nervous,EntericGli,EntericGli_43
44,Fin_epidermis_44,Fin epidermis,fin,integumentary,FinEpiderm,FinEpiderm_44
45,Branchial_periderm_or_epithelium_45,Branchial_periderm_or_epithelium,epithelium,respiratory,BrancPorEp,BrancPorEp_45
46,Anterior_enterocyte_46,Anterior enterocyte,intestine,digestive,EnteroAnte,EnteroAnte_46
47,Muscle_unknown_47,Muscle unknown,muscle,musculoskeletal,MuscleUnkn,MuscleUnkn_47
48,Nucleate_erythrocyte_48,Nucleate erythrocyte,blood,connective tissue,NucErythro,NucErythro_48
49,Neural_progenitor_notch1+_49,Neural progenitor,neuron,nervous,NeuralProg,NeuralProg_49
50,Phtotoreceptor_precursor_50,Phtotoreceptor precursor,eye,sensory,PhotRecPre,PhotRecPre_50
51,Fin_medial_epidermis_51,Fin medial epidermis,fin,integumentary,FinMedEpid,FinMedEpid_51
52,Skeletal_muscle_52,Skeletal muscle,muscle,musculoskeletal,SkelMuscle,SkelMuscle_52
53,Neuron_glutamatergic_53,Neuron glutamatergic,neuron,nervous,NeuronGlut,NeuronGlut_53
54,Retinal_pigmented_epithelium_54,Retinal pigmented epithelium,eye,sensory,RetPigEpit,RetPigEpit_54
55,Pharyngeal_arch_55,Pharyngeal arch,mesenchyme,connective tissue,PharynArch,PharynArch_55
56,Oral/Pharyngeal_epithelium_56,Oral/Pharyngeal epithelium,epithelium,integumentary,OralPharEp,OralPharEp_56
57,Neutrophil_57,Neutrophil,blood,immune,Neutrophil,Neutrophil_57
58,Pharyngeal_epithelium_or_periderm_58,Pharyngeal epithelium or periderm,epithelium,integumentary,PharEpiPer,PharEpiPer_58
59,Neural_midbrain_hindbrain_progenitor_59,Neural midbrain hindbrain progenitor,CNS,nervous,NeurMHProg,NeurMHProg_59
